"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",30137000,784200,562500,1346700
"All industries ","Agriculture, forestry and fishing ",405900,24100,12000,36100
"","Production ",2793800,92400,66200,158600
"","Construction ",2032200,55900,34100,90000
"","Wholesale, retail, transport, hotels and food ",7875900,203100,140100,343100
"","Information and communication ",1204100,12400,14000,26400
"","Finance and insurance activities ",1082600,13700,19600,33200
"","Real estate activities ",468300,9700,8000,17600
"","Professional, scientific and technical activities; administrative and support service activities ",4790500,70000,73600,143600
"","Public administration, defence, education and health ",7798900,261900,163700,425600
"","Other service activities ",1684800,41100,31200,72400


